,role,pname
0,1,Christopher+Barnwell
1,1,Johan+Botha
2,1,Daniel+Christian
3,1,Michael+Clarke
4,0,Nathan+Coulter-Nile
5,1,Akila+Dananjaya
6,1,Quinton+de+Kock
7,0,Fidel+Edwards
8,1,James+Faulkner
9,0,Manpreet+Gony
10,1,Moisés+Henriques
11,1,Jason+Holder
12,1,Phillip+Hughes
13,0,Ben+Laughlin
14,1,Glenn+Maxwell
15,0,Nathan+McCullum
16,0,Clint+McKay
17,1,Ryan+McLaren
18,0,Ajantha+Mendis
19,1,Jeevan+Mendis
20,1,Chris+Morris
21,0,Dirk+Nannes
22,1,Jacob+Oram
23,1,Thisara+Perera
24,0,Luke+Pomersbach
25,1,Ricky+Ponting
26,0,Ravi+Rampaul
27,0,Kane+Richardson
28,1,Jesse+Ryder
29,1,Darren+Sammy
30,0,Pankaj+Singh
31,0,Sudeep+Tyagi
32,0,Jaydev+Unadkat
