,date,runs,balls
0,2013-02-17, , 
1,2013-02-22,2,5
2,2013-02-24,0,1
3,2013-03-02, , 
4,2013-03-06,5,9
5,2013-03-08,5,10
6,2013-03-14,2,6
7,2013-03-22,12,7
8,2013-03-28, , 
9,2013-04-03,8,7
10,2013-05-05, , 
11,2013-05-09,5,7
12,2013-05-15, , 
13,2013-05-19, , 
14,2013-08-02,0,0
15,2013-08-04,10,6
16,2013-08-06, , 
17,2013-11-13, , 
18,2013-11-15, , 
19,2013-11-20,6,6
20,2013-11-22, , 
21,2014-01-05,0,2
22,2014-01-08,1,1
23,2014-01-11,0,3
24,2014-01-15, , 
25,2014-01-17,22,14
26,2014-01-19,1,3
27,2014-01-22,1,3
28,2014-01-24,6,5
29,2014-01-26,0,0
30,2014-02-02,27,20
